"name","logo","type","description","website","twitter","linkedin"
"Balsamiq","https://uxdxconf.com/images/kentico/a41cf6d3-ed45-48bf-9fd3-2600642caa2b/balsamiq-logo.svg","5. Supporter","<p>Balsamiq Wireframes (formerly Balsamiq Mockups) is the industry-leading rapid wireframing software that combines the comfort and simplicity of paper sketching with the power of a digital tool, so your work is easier to share, modify, and get honest feedback on. Wireframes look like sketches, so stakeholders won't get distracted by little details, and can focus on what's important instead. https://balsamiq.com<br>
<br>
Balsamiq is available for Desktop, as a hosted web service, or integrated with Google Drive, Confluence and Jira.</p>","balsamiq","https://twitter.com/balsamiq","https://www.linkedin.com/company/balsamiq"
"","https://uxdxconf.com/images/kentico/f99bd687-c685-411f-ac02-8e38023fbed4/ux-design-institute-smaller.jpg","4. Bronze","<p><em>The UX Design Institute is the global leader in UX education and certification, offering the word's only fully online, university accredited diploma in UX design. Our mission is to offer a world-class education to the next generation of UX professionals and leaders. UX design plays a vital role in harnessing and shaping the power of ever-evolving technology. Our courses will shape the great designers of the future to better serve individuals, businesses and society.</em></p>
<p><br></p>
<p><em>Whether you're completely new to UX, or you have some design experience, or you've already started working in UX, this course is ideal for you.</em></p>
<p><br></p>
<p><em>The Professional Diploma in UX Design has been developed to help you build a&nbsp;successful career in UX. What will you get from the course?</em></p>
<ul>
  <li><em>You'll learn to think like a UX designer, and adopt the mindset that makes them so valuable</em></li>
  <li><em>You'll have the confidence that comes from a true, deep understanding of the domain</em></li>
  <li><em>You'll have job-ready skills and a portfolio of work to prove it</em></li>
  <li><em>You'll have a university accredited diploma, a globally recognised qualification</em></li>
</ul>
<p><br></p>
<p><em>Upon successful completion of the course, you will become a Certified UX Professional.</em></p>","ux-design-institute","https://twitter.com/uxdihq","https://www.linkedin.com/school/uxdihq/"